stg,sys,system,series,stage,short,bottom,mid,top,dur,systemCol,seriesCol,col,t2d,t2u,t3,tPart,tGFd,tGFu,tSing,tOri,tExt,tThrough,divSIB,divCSIB,divRT,divBC,extProp,oriProp,extPC,oriPC,ext3t,ori3t,extC3t,oriC3t,extGF,oriGF,E2f3,O2f3,ext2f3,ori2f3,samp3t,sampRange,diet,mass_extinction,food_mass_extinction,me_no_perm
5,Cm,Cambrian,Terreneuvian,Stage 2,St2,529,525,521,8,#94ac72,#9db989,#b6c29e,87,114,48,14,NA,1,47,77,36,67,211,214.374087664421,227,103,0.365638766519824,0.54625550660793,0.43003636883867,0.765120680185035,0.594707107746693,0.864997437486605,0.557665836066344,NA,0.471985790449727,NA,0.277227722772277,NA,0.324661075692868,NA,0.774193548387097,0.761194029850746,Non-Carnivore,FALSE,FALSE,FALSE
6,Cm,Cambrian,Series 2,Stage 3,St3,521,517.75,514.5,6.5,#94ac72,#a9c595,#b5ca9f,114,200,53,2,4,10,348,167,61,83,643,524.852384368133,659,144,0.620637329286798,0.781487101669196,0.550972691779403,1.10262031006565,0.765906534842374,1.32802545299591,0.436153248469906,1.07209207885871,0.579202921210728,1.23073025349549,0.439655172413793,0.702970297029703,0.579202921210728,1.2139231351791,0.963636363636364,0.807228915662651,Non-Carnivore,FALSE,FALSE,FALSE
7,Cm,Cambrian,Series 2,Stage 4,St4,514.5,511.75,509,5.5,#94ac72,#a9c595,#c0ceaa,200,168,64,25,4,11,149,115,127,123,466,509.724291686718,514,250,0.536964980544747,0.513618677042802,0.709276562489829,0.660086318299057,1.13943428318836,0.965080896043587,0.916290731874155,0.928039624363238,0.810930216216329,0.73009069575163,0.497777777777778,0.440414507772021,0.68871258349208,0.580558961780666,0.719101123595506,0.609756097560976,Non-Carnivore,FALSE,FALSE,FALSE
8,Cm,Cambrian,Maolingian,Wulian,Wul,509,506.75,504.5,4.5,#94ac72,#b6d2a2,#c1d6af,168,144,52,13,12,6,219,110,122,116,526,517.172160731473,567,238,0.601410934744268,0.580246913580247,0.71868048256511,0.666944808165921,1.17272026082183,1.01856958099457,0.81377516834856,0.688816294622105,0.93581715422451,0.712440383494624,0.56353591160221,0.496815286624204,0.829049178798804,0.686797952881287,0.8,0.646551724137931,Non-Carnivore,FALSE,FALSE,FALSE
9,Cm,Cambrian,Maolingian,Drumian,Dru,504.5,502.5,500.5,4,#94ac72,#b6d2a2,#cddbb8,144,102,44,19,5,9,75,58,92,134,293,329.985513824482,359,226,0.465181058495822,0.370473537604457,0.522695199321374,0.35965557207687,1.18562366565774,0.84078317936601,0.980829253011726,0.6176396280518,0.817084081790707,0.576282840420634,0.478527607361963,0.330578512396694,0.651098944316446,0.401341390924302,0.698412698412698,0.507462686567164,Non-Carnivore,FALSE,FALSE,FALSE
10,Cm,Cambrian,Maolingian,Guzhangian,Guz,500.5,498.75,497,3.5,#94ac72,#b6d2a2,#d6e1c1,102,73,22,5,6,9,117,84,84,108,327,315.666298451308,393,192,0.511450381679389,0.511450381679389,0.575364144903562,0.575364144903562,1.53393035992596,1.19941698779008,0.922128818819962,0.840471895316804,1.0893098960058,0.860201265223112,0.663551401869159,0.576923076923077,1.0893098960058,0.860201265223111,0.814814814814815,0.388888888888889,Non-Carnivore,FALSE,FALSE,FALSE
11,Cm,Cambrian,Furongian,Paibian,Pai,497,495.6,494.2,2.8,#94ac72,#c2ddb0,#d8e8c4,73,92,32,27,6,18,45,72,41,151,201,291.49927063282,309,192,0.27831715210356,0.378640776699029,0.240215535212857,0.389891934645195,0.824723538348665,1.05605267424931,0.228740106242367,0.8512582616033,0.261364764134408,0.604736223215892,0.23,0.302521008403361,0.261364764134408,0.360282885314932,0.542372881355932,0.28476821192053,Non-Carnivore,FALSE,FALSE,FALSE
12,Cm,Cambrian,Furongian,Jiangshanian,Jia,494.2,492.6,491,3.2,#94ac72,#c2ddb0,#e4efcf,92,108,27,22,31,6,96,73,70,153,295,421.108214807685,392,223,0.423469387755102,0.431122448979592,0.376733850067683,0.39009707787985,1.22595171104471,1.38629436111989,0.942589299737447,0.774492820013898,0.728865263162025,0.485507815781701,0.403508771929825,0.353846153846154,0.516690743218389,0.436717651612269,0.551020408163265,0.366013071895425,Non-Carnivore,FALSE,FALSE,FALSE
13,Cm,Cambrian,Furongian,Stages 10,St10,491,488.925,486.85,4.15,#94ac72,#c2ddb0,#edf2db,108,150,58,19,9,3,66,79,70,156,292,304.91933556802,371,226,0.366576819407008,0.390835579514825,0.370678992022749,0.409729506894622,0.6216882165778,0.950192283549836,0.562264796107,0.354208851443539,0.46216045178471,0.675551418669566,0.244094488188976,0.414201183431953,0.279838894990755,0.534778864788484,0.753246753246753,0.493589743589744,Non-Carnivore,FALSE,FALSE,FALSE
14,O,Ordovician,Lower Ordovician,Tremadocian,Tre,486.85,481.965,477.08,9.77,#009881,#00a180,#0dac98,150,264,49,3,3,2,178,309,116,119,679,566.782483156882,722,235,0.407202216066482,0.674515235457064,0.68046202103263,1.27999970247027,1.11881499598563,1.68412880503569,0.90392458642814,1.40076639372842,1.04145387482816,1.57991547316778,0.640522875816993,0.794007490636704,1.02310473615996,1.57991547316778,0.942307692307692,0.638655462184874,Non-Carnivore,FALSE,FALSE,FALSE
